Year,State,Sex,Number of Live births
2015,Perlis,Female,2076
2015,Pulau Pinang,Male,11529
2015,Pulau Pinang,Female,10713
2015,Sabah,Male,28451
2015,Sabah,Female,26248
2015,Sarawak,Male,20551
2015,Sarawak,Female,19203
2015,Selangor,Male,55720
2015,Selangor,Female,52411
2015,Terengganu,Male,14403
2015,Terengganu,Female,13226
2015,W.P. Kuala Lumpur,Male,13411
2015,W.P. Kuala Lumpur,Female,12378
2015,W.P. Labuan,Male,1023
2015,W.P. Labuan,Female,930
2015,W.P. Putrajaya,Male,1515
2015,W.P. Putrajaya,Female,1354
2014,Malaysia,Male,273139
2014,Malaysia,Female,255473
2014,Johor,Male,31420
2014,Johor,Female,29023
2014,Kedah,Male,18936
2014,Kedah,Female,17569
2014,Kelantan,Male,20227
2014,Kelantan,Female,19052
2014,Melaka,Male,7592
2014,Melaka,Female,6976
2014,Negeri Sembilan,Male,9665
2014,Negeri Sembilan,Female,9011
2014,Pahang,Male,14887
2014,Pahang,Female,13856
2014,Perak,Male,18833
2014,Perak,Female,17753
2014,Perlis,Male,2318
2014,Perlis,Female,2191
2014,Pulau Pinang,Male,11799
2014,Pulau Pinang,Female,11078
2014,Sabah,Male,29720
2014,Sabah,Female,27677
2014,Sarawak,Male,21243
2014,Sarawak,Female,19806
2014,Selangor,Male,56023
2014,Selangor,Female,52909
2014,Terengganu,Male,14056
2014,Terengganu,Female,12957
2014,W.P. Kuala Lumpur,Male,13887
2014,W.P. Kuala Lumpur,Female,13213
2014,W.P. Labuan,Male,959
2014,W.P. Labuan,Female,912
2014,W.P. Putrajaya,Male,1574
2014,W.P. Putrajaya,Female,1490
2016,Malaysia,Male,262755
2016,Malaysia,Female,245448
2016,Johor,Male,30754
2016,Johor,Female,28807
2016,Kedah,Male,18457
2016,Kedah,Female,17510
2016,Kelantan,Male,19821
2016,Kelantan,Female,18634
2016,Melaka,Male,7511
2016,Melaka,Female,6891
2016,Negeri Sembilan,Male,9345
2016,Negeri Sembilan,Female,8691
2016,Pahang,Male,14379
2016,Pahang,Female,13247
2016,Perak,Male,18559
2016,Perak,Female,17126
2016,Perlis,Male,2297
2016,Perlis,Female,2095
2016,Pulau Pinang,Male,11176
2016,Pulau Pinang,Female,10605
2016,Sabah,Male,27067
2016,Sabah,Female,25004
2016,Sarawak,Male,19652
2016,Sarawak,Female,18333
2016,Selangor,Male,54027
2016,Selangor,Female,50634
2016,Terengganu,Male,14211
2016,Terengganu,Female,13310
2016,W.P. Kuala Lumpur,Male,13276
2016,W.P. Kuala Lumpur,Female,12463
2016,W.P. Labuan,Male,881
2016,W.P. Labuan,Female,871
2016,W.P. Putrajaya,Male,1342
2016,W.P. Putrajaya,Female,1227
2009,Malaysia,Male,256060
2009,Malaysia,Female,240253
2009,Johor,Male,29631
2009,Johor,Female,27386
2009,Kedah,Male,18387
2009,Kedah,Female,17376
2009,Kelantan,Male,18277
2009,Kelantan,Female,17297
2009,Melaka,Male,6829
2009,Melaka,Female,6464
2009,Negeri Sembilan,Male,8844
2009,Negeri Sembilan,Female,8315
2009,Pahang,Male,13411
2009,Pahang,Female,12499
2009,Perak,Male,18836
2009,Perak,Female,17819
2009,Perlis,Male,2197
2009,Perlis,Female,2015
2009,Pulau Pinang,Male,11621
2009,Pulau Pinang,Female,10937
2009,Sabah,Male,26925
2009,Sabah,Female,25128
2009,Sarawak,Male,22407
2009,Sarawak,Female,20794
2009,Selangor,Male,52446
2009,Selangor,Female,49164
2009,Terengganu,Male,12152
2009,Terengganu,Female,11643
2009,W.P. Kuala Lumpur,Male,13252
2009,W.P. Kuala Lumpur,Female,12612
2009,W.P. Labuan,Male,845
2009,W.P. Labuan,Female,804
2010,Malaysia,Male,253718
2010,Malaysia,Female,237521
2010,Johor,Male,28989
2010,Johor,Female,27075
2010,Kedah,Male,18203
2010,Kedah,Female,16925
2010,Kelantan,Male,18586
2010,Kelantan,Female,17423
2010,Melaka,Male,6799
2010,Melaka,Female,6211
2010,Negeri Sembilan,Male,8654
2010,Negeri Sembilan,Female,8285
2010,Pahang,Male,13426
2010,Pahang,Female,12520
2010,Perak,Male,18548
2010,Perak,Female,17478
2010,Perlis,Male,2126
2010,Perlis,Female,1988
2010,Pulau Pinang,Male,10964
2010,Pulau Pinang,Female,10208
2010,Sabah,Male,28078
2010,Sabah,Female,26056
2010,Sarawak,Male,21435
2010,Sarawak,Female,20039
2010,Selangor,Male,50529
2010,Selangor,Female,47900
2010,Terengganu,Male,12546
2010,Terengganu,Female,11716
2010,W.P. Kuala Lumpur,Male,12697
2010,W.P. Kuala Lumpur,Female,11774
2010,W.P. Labuan,Male,852
2010,W.P. Labuan,Female,779
2010,W.P. Putrajaya,Male,1286
2010,W.P. Putrajaya,Female,1144
2011,Malaysia,Male,264427
2011,Malaysia,Female,247167
2011,Johor,Male,29962
2011,Johor,Female,28205
2011,Kedah,Male,18480
2011,Kedah,Female,17457
2011,Kelantan,Male,19412
2011,Kelantan,Female,18267
2011,Melaka,Male,7290
2011,Melaka,Female,6686
2011,Negeri Sembilan,Male,9202
2011,Negeri Sembilan,Female,8468
2011,Pahang,Male,14045
2011,Pahang,Female,13034
2011,Perak,Male,19459
2011,Perak,Female,18063
2011,Perlis,Male,2192
2011,Perlis,Female,1969
2011,Pulau Pinang,Male,11633
2011,Pulau Pinang,Female,10720
2011,Sabah,Male,28473
2011,Sabah,Female,26517
2011,Sarawak,Male,22318
2011,Sarawak,Female,21065
2011,Selangor,Male,53540
2011,Selangor,Female,50146
2011,Terengganu,Male,12855
2011,Terengganu,Female,11921
2011,W.P. Kuala Lumpur,Male,13147
2011,W.P. Kuala Lumpur,Female,12378
2011,W.P. Labuan,Male,911
2011,W.P. Labuan,Female,823
2011,W.P. Putrajaya,Male,1508
2011,W.P. Putrajaya,Female,1448
2017,Malaysia ,Male,262575
2017,Malaysia ,Female,246110
2017,Johor ,Male,31648
2017,Johor ,Female,29437
2017,Kedah ,Male,18991
2017,Kedah ,Female,17702
2017,Kelantan,Male,20084
2017,Kelantan,Female,19038
2017,Melaka,Male,7454
2017,Melaka,Female,6935
2017,Negeri Sembilan,Male,9390
2017,Negeri Sembilan,Female,8688
2017,Pahang ,Male,14111
2017,Pahang ,Female,13444
2017,Perak,Male,17953
2017,Perak,Female,16885
2017,Perlis,Male,2347
2017,Perlis,Female,2100
2017,Pulau Pinang,Male,11048
2017,Pulau Pinang,Female,10416
2017,Sabah ,Male,27120
2017,Sabah ,Female,25408
2017,Sarawak,Male,19543
2017,Sarawak,Female,18111
2017,Selangor,Male,53823
2017,Selangor,Female,50164
2017,Terengganu ,Male,14177
2017,Terengganu ,Female,13734
2017,W.P. Kuala Lumpur ,Male,12722
2017,W.P. Kuala Lumpur ,Female,12010
2017,W.P. Labuan ,Male,866
2017,W.P. Labuan ,Female,819
2017,W.P. Putrajaya,Male,1298
2017,W.P. Putrajaya,Female,1219
2018,Malaysia ,Male,259582
2018,Malaysia ,Female,242363
2018,Johor,Male,31656
2018,Johor,Female,29428
2018,Kedah,Male,18462
2018,Kedah,Female,17181
2018,Kelantan,Male,19984
2018,Kelantan,Female,18376
2018,Melaka,Male,7379
2018,Melaka,Female,7009
2018,Negeri Sembilan,Male,9328
2018,Negeri Sembilan,Female,8849
2018,Pahang,Male,13930
2018,Pahang,Female,13076
2018,Perak,Male,17455
2018,Perak,Female,16414
2018,Perlis,Male,2249
2018,Perlis,Female,2122
2018,Pulau Pinang,Male,10661
2018,Pulau Pinang,Female,10044
2018,Sabah,Male,27601
2018,Sabah,Female,25424
2018,Sarawak,Male,18876
2018,Sarawak,Female,17748
2018,Selangor,Male,52784
2018,Selangor,Female,49341
2018,Terengganu,Male,14578
2018,Terengganu,Female,13664
2018,W.P. Kuala Lumpur,Male,12475
2018,W.P. Kuala Lumpur,Female,11760
2018,W.P. Labuan,Male,913
2018,W.P. Labuan,Female,778
2018,W.P. Putrajaya,Male,1251
2018,W.P. Putrajaya,Female,1149
