,Year,State,Age Group,Fertility rate
993,2011,Johor,20 - 24,59
994,2011,Johor,25 - 29,139
995,2011,Johor,30 - 34,133
996,2011,Johor,35 - 39,71
997,2011,Johor,40 - 44,19
998,2011,Johor,45 - 49,2
999,2011,Johor,Total,2175
1000,2010,Johor,15 - 19,12
1001,2010,Johor,20 - 24,59
1002,2010,Johor,25 - 29,135
1003,2010,Johor,30 - 34,131
1004,2010,Johor,35 - 39,68
1005,2010,Johor,40 - 44,18
1006,2010,Johor,45 - 49,1
1007,2010,Johor,Total,2133
1008,2009,Johor,15 - 19,12
1009,2009,Johor,20 - 24,65
1010,2009,Johor,25 - 29,144
1011,2009,Johor,30 - 34,137
1012,2009,Johor,35 - 39,70
1013,2009,Johor,40 - 44,19
1014,2009,Johor,45 - 49,2
1015,2009,Johor,Total,2247
1016,2008,Johor,15 - 19,12
1017,2008,Johor,20 - 24,66
1018,2008,Johor,25 - 29,148
1019,2008,Johor,30 - 34,140
1020,2008,Johor,35 - 39,72
1021,2008,Johor,40 - 44,21
1022,2008,Johor,45 - 49,2
1023,2008,Johor,Total,2301
1024,2007,Johor,15 - 19,11
1025,2007,Johor,20 - 24,68
1026,2007,Johor,25 - 29,155
1027,2007,Johor,30 - 34,139
1028,2007,Johor,35 - 39,73
1029,2007,Johor,40 - 44,22
1030,2007,Johor,45 - 49,2
1031,2007,Johor,Total,2351
1032,2006,Johor,15 - 19,11
1033,2006,Johor,20 - 24,70
1034,2006,Johor,25 - 29,155
1035,2006,Johor,30 - 34,137
1036,2006,Johor,35 - 39,74
1037,2006,Johor,40 - 44,22
1038,2006,Johor,45 - 49,2
1039,2006,Johor,Total,2356
1040,2005,Johor,15 - 19,11
1041,2005,Johor,20 - 24,72
1042,2005,Johor,25 - 29,156
1043,2005,Johor,30 - 34,139
1044,2005,Johor,35 - 39,76
1045,2005,Johor,40 - 44,22
1046,2005,Johor,45 - 49,2
1047,2005,Johor,Total,2392
1048,2004,Johor,15 - 19,11
1049,2004,Johor,20 - 24,76
1050,2004,Johor,25 - 29,161
1051,2004,Johor,30 - 34,139
1052,2004,Johor,35 - 39,79
1053,2004,Johor,40 - 44,24
1054,2004,Johor,45 - 49,2
1055,2004,Johor,Total,2469
1056,2003,Johor,15 - 19,12
1057,2003,Johor,20 - 24,80
1058,2003,Johor,25 - 29,167
1059,2003,Johor,30 - 34,142
1060,2003,Johor,35 - 39,82
1061,2003,Johor,40 - 44,25
1062,2003,Johor,45 - 49,3
1063,2003,Johor,Total,2549
1064,2002,Johor,15 - 19,11
1065,2002,Johor,20 - 24,84
1066,2002,Johor,25 - 29,172
1067,2002,Johor,30 - 34,148
1068,2002,Johor,35 - 39,87
1069,2002,Johor,40 - 44,26
1070,2002,Johor,45 - 49,3
1071,2002,Johor,Total,2657
1072,2001,Johor,15 - 19,13
1073,2001,Johor,20 - 24,90
1074,2001,Johor,25 - 29,178
1075,2001,Johor,30 - 34,153
1076,2001,Johor,35 - 39,91
1077,2001,Johor,40 - 44,27
1078,2001,Johor,45 - 49,3
1079,2001,Johor,Total,2775
1080,2018,Kedah,15 - 19,6.83234
1081,2018,Kedah,20 - 24,46.581
1082,2018,Kedah,25 - 29,131.498
1083,2018,Kedah,30 - 34,144.306
1084,2018,Kedah,35 - 39,87.3777
1085,2018,Kedah,40 - 44,22.045
1086,2018,Kedah,45 - 49,1.37491
1087,2018,Kedah,Total,2200.08
1088,2017,Kedah,15 - 19,7
1089,2017,Kedah,20 - 24,50
1090,2017,Kedah,25 - 29,140
1091,2017,Kedah,30 - 34,150
1092,2017,Kedah,35 - 39,88
1093,2017,Kedah,40 - 44,24
1094,2017,Kedah,45 - 49,2
1095,2017,Kedah,Total,2307
1096,2016,Kedah,15 - 19,7
1097,2016,Kedah,20 - 24,51
1098,2016,Kedah,25 - 29,146
1099,2016,Kedah,30 - 34,149
1100,2016,Kedah,35 - 39,85
1101,2016,Kedah,40 - 44,22
1102,2016,Kedah,45 - 49,1
1103,2016,Kedah,Total,2309
1104,2015,Kedah,15 - 19,8
1105,2015,Kedah,20 - 24,52
1106,2015,Kedah,25 - 29,159
1107,2015,Kedah,30 - 34,154
1108,2015,Kedah,35 - 39,85
1109,2015,Kedah,40 - 44,22
1110,2015,Kedah,45 - 49,1
1111,2015,Kedah,Total,2407
1112,2014,Kedah,15 - 19,9
1113,2014,Kedah,20 - 24,54
1114,2014,Kedah,25 - 29,166
1115,2014,Kedah,30 - 34,156
1116,2014,Kedah,35 - 39,86
1117,2014,Kedah,40 - 44,22
1118,2014,Kedah,45 - 49,2
1119,2014,Kedah,Total,2468
1120,2013,Kedah,15 - 19,8
1121,2013,Kedah,20 - 24,57
1122,2013,Kedah,25 - 29,168
1123,2013,Kedah,30 - 34,150
1124,2013,Kedah,35 - 39,79
1125,2013,Kedah,40 - 44,20
1126,2013,Kedah,45 - 49,2
1127,2013,Kedah,Total,2417
1128,2012,Kedah,15 - 19,9
1129,2012,Kedah,20 - 24,61
1130,2012,Kedah,25 - 29,178
1131,2012,Kedah,30 - 34,163
1132,2012,Kedah,35 - 39,85
1133,2012,Kedah,40 - 44,22
1134,2012,Kedah,45 - 49,2
1135,2012,Kedah,Total,2602
1136,2011,Kedah,15 - 19,9
1137,2011,Kedah,20 - 24,64
1138,2011,Kedah,25 - 29,184
1139,2011,Kedah,30 - 34,159
1140,2011,Kedah,35 - 39,82
1141,2011,Kedah,40 - 44,23
1142,2011,Kedah,45 - 49,2
1143,2011,Kedah,Total,2613
1144,2010,Kedah,15 - 19,9
1145,2010,Kedah,20 - 24,71
1146,2010,Kedah,25 - 29,178
1147,2010,Kedah,30 - 34,152
1148,2010,Kedah,35 - 39,80
1149,2010,Kedah,40 - 44,24
1150,2010,Kedah,45 - 49,2
1151,2010,Kedah,Total,2581
1152,2009,Kedah,15 - 19,10
1153,2009,Kedah,20 - 24,78
1154,2009,Kedah,25 - 29,180
1155,2009,Kedah,30 - 34,152
1156,2009,Kedah,35 - 39,83
1157,2009,Kedah,40 - 44,26
1158,2009,Kedah,45 - 49,2
1159,2009,Kedah,Total,2655
1160,2008,Kedah,15 - 19,9
1161,2008,Kedah,20 - 24,77
1162,2008,Kedah,25 - 29,178
1163,2008,Kedah,30 - 34,150
1164,2008,Kedah,35 - 39,83
1165,2008,Kedah,40 - 44,26
1166,2008,Kedah,45 - 49,2
1167,2008,Kedah,Total,2633
1168,2007,Kedah,15 - 19,9
1169,2007,Kedah,20 - 24,74
1170,2007,Kedah,25 - 29,169
1171,2007,Kedah,30 - 34,147
1172,2007,Kedah,35 - 39,83
1173,2007,Kedah,40 - 44,27
1174,2007,Kedah,45 - 49,2
1175,2007,Kedah,Total,2555
1176,2006,Kedah,15 - 19,8
1177,2006,Kedah,20 - 24,77
1178,2006,Kedah,25 - 29,172
1179,2006,Kedah,30 - 34,146
1180,2006,Kedah,35 - 39,84
1181,2006,Kedah,40 - 44,27
1182,2006,Kedah,45 - 49,2
1183,2006,Kedah,Total,2577
1184,2005,Kedah,15 - 19,9
1185,2005,Kedah,20 - 24,76
1186,2005,Kedah,25 - 29,173
1187,2005,Kedah,30 - 34,151
1188,2005,Kedah,35 - 39,89
1189,2005,Kedah,40 - 44,30
1190,2005,Kedah,45 - 49,3
1191,2005,Kedah,Total,2648
1192,2004,Kedah,15 - 19,9
1193,2004,Kedah,20 - 24,79
1194,2004,Kedah,25 - 29,181
1195,2004,Kedah,30 - 34,155
1196,2004,Kedah,35 - 39,92
1197,2004,Kedah,40 - 44,31
1198,2004,Kedah,45 - 49,3
1199,2004,Kedah,Total,2750
1200,2003,Kedah,15 - 19,9
1201,2003,Kedah,20 - 24,86
1202,2003,Kedah,25 - 29,186
1203,2003,Kedah,30 - 34,154
1204,2003,Kedah,35 - 39,94
1205,2003,Kedah,40 - 44,32
1206,2003,Kedah,45 - 49,3
1207,2003,Kedah,Total,2818
1208,2002,Kedah,15 - 19,9
1209,2002,Kedah,20 - 24,91
1210,2002,Kedah,25 - 29,191
1211,2002,Kedah,30 - 34,162
1212,2002,Kedah,35 - 39,101
1213,2002,Kedah,40 - 44,35
1214,2002,Kedah,45 - 49,4
1215,2002,Kedah,Total,2968
1216,2001,Kedah,15 - 19,11
1217,2001,Kedah,20 - 24,101
1218,2001,Kedah,25 - 29,198
1219,2001,Kedah,30 - 34,167
1220,2001,Kedah,35 - 39,107
1221,2001,Kedah,40 - 44,40
1222,2001,Kedah,45 - 49,4
1223,2001,Kedah,Total,3138
1224,2018,Kelantan,15 - 19,8.75219
1225,2018,Kelantan,20 - 24,55.0466
1226,2018,Kelantan,25 - 29,163.064
1227,2018,Kelantan,30 - 34,209.279
1228,2018,Kelantan,35 - 39,120.298
1229,2018,Kelantan,40 - 44,39.7826
1230,2018,Kelantan,45 - 49,3.13279
1231,2018,Kelantan,Total,2996.78
1232,2017,Kelantan,15 - 19,10
1233,2017,Kelantan,20 - 24,61
1234,2017,Kelantan,25 - 29,185
1235,2017,Kelantan,30 - 34,214
1236,2017,Kelantan,35 - 39,121
1237,2017,Kelantan,40 - 44,38
1238,2017,Kelantan,45 - 49,3
1239,2017,Kelantan,Total,3160
1240,2016,Kelantan,15 - 19,12
1241,2016,Kelantan,20 - 24,61
1242,2016,Kelantan,25 - 29,204
1243,2016,Kelantan,30 - 34,211
1244,2016,Kelantan,35 - 39,117
1245,2016,Kelantan,40 - 44,38
1246,2016,Kelantan,45 - 49,3
1247,2016,Kelantan,Total,3231
1248,2015,Kelantan,15 - 19,13
1249,2015,Kelantan,20 - 24,64
1250,2015,Kelantan,25 - 29,230
1251,2015,Kelantan,30 - 34,212
1252,2015,Kelantan,35 - 39,123
1253,2015,Kelantan,40 - 44,38
1254,2015,Kelantan,45 - 49,4
1255,2015,Kelantan,Total,3420
1256,2014,Kelantan,15 - 19,14
1257,2014,Kelantan,20 - 24,71
1258,2014,Kelantan,25 - 29,250
1259,2014,Kelantan,30 - 34,215
1260,2014,Kelantan,35 - 39,121
1261,2014,Kelantan,40 - 44,40
1262,2014,Kelantan,45 - 49,4
1263,2014,Kelantan,Total,3571
1264,2013,Kelantan,15 - 19,14
1265,2013,Kelantan,20 - 24,72
1266,2013,Kelantan,25 - 29,247
1267,2013,Kelantan,30 - 34,198
1268,2013,Kelantan,35 - 39,113
1269,2013,Kelantan,40 - 44,40
1270,2013,Kelantan,45 - 49,4
1271,2013,Kelantan,Total,3441
1272,2012,Kelantan,15 - 19,15
1273,2012,Kelantan,20 - 24,83
1274,2012,Kelantan,25 - 29,250
1275,2012,Kelantan,30 - 34,205
1276,2012,Kelantan,35 - 39,120
1277,2012,Kelantan,40 - 44,44
1278,2012,Kelantan,45 - 49,4
1279,2012,Kelantan,Total,3605
1280,2011,Kelantan,15 - 19,16
1281,2011,Kelantan,20 - 24,96
1282,2011,Kelantan,25 - 29,259
1283,2011,Kelantan,30 - 34,213
1284,2011,Kelantan,35 - 39,120
1285,2011,Kelantan,40 - 44,45
1286,2011,Kelantan,45 - 49,4
1287,2011,Kelantan,Total,3769
1288,2010,Kelantan,15 - 19,16
1289,2010,Kelantan,20 - 24,107
1290,2010,Kelantan,25 - 29,253
1291,2010,Kelantan,30 - 34,193
1292,2010,Kelantan,35 - 39,119
1293,2010,Kelantan,40 - 44,43
1294,2010,Kelantan,45 - 49,5
1295,2010,Kelantan,Total,3679
1296,2009,Kelantan,15 - 19,17
1297,2009,Kelantan,20 - 24,109
1298,2009,Kelantan,25 - 29,236
1299,2009,Kelantan,30 - 34,195
1300,2009,Kelantan,35 - 39,124
1301,2009,Kelantan,40 - 44,46
1302,2009,Kelantan,45 - 49,5
1303,2009,Kelantan,Total,3662
1304,2008,Kelantan,15 - 19,16
1305,2008,Kelantan,20 - 24,106
1306,2008,Kelantan,25 - 29,223
1307,2008,Kelantan,30 - 34,199
1308,2008,Kelantan,35 - 39,124
1309,2008,Kelantan,40 - 44,48
1310,2008,Kelantan,45 - 49,5
1311,2008,Kelantan,Total,3610
1312,2007,Kelantan,15 - 19,15
1313,2007,Kelantan,20 - 24,100
1314,2007,Kelantan,25 - 29,215
1315,2007,Kelantan,30 - 34,197
1316,2007,Kelantan,35 - 39,131
1317,2007,Kelantan,40 - 44,50
1318,2007,Kelantan,45 - 49,6
1319,2007,Kelantan,Total,3570
1320,2006,Kelantan,15 - 19,13
1321,2006,Kelantan,20 - 24,98
1322,2006,Kelantan,25 - 29,225
1323,2006,Kelantan,30 - 34,206
1324,2006,Kelantan,35 - 39,126
1325,2006,Kelantan,40 - 44,55
1326,2006,Kelantan,45 - 49,6
1327,2006,Kelantan,Total,3644
1328,2005,Kelantan,15 - 19,14
1329,2005,Kelantan,20 - 24,97
1330,2005,Kelantan,25 - 29,232
1331,2005,Kelantan,30 - 34,222
1332,2005,Kelantan,35 - 39,133
1333,2005,Kelantan,40 - 44,56
1334,2005,Kelantan,45 - 49,7
1335,2005,Kelantan,Total,3800
1336,2004,Kelantan,15 - 19,14
1337,2004,Kelantan,20 - 24,101
1338,2004,Kelantan,25 - 29,254
1339,2004,Kelantan,30 - 34,231
1340,2004,Kelantan,35 - 39,140
1341,2004,Kelantan,40 - 44,61
1342,2004,Kelantan,45 - 49,7
1343,2004,Kelantan,Total,4039
1344,2003,Kelantan,15 - 19,14
1345,2003,Kelantan,20 - 24,108
1346,2003,Kelantan,25 - 29,281
1347,2003,Kelantan,30 - 34,234
1348,2003,Kelantan,35 - 39,141
1349,2003,Kelantan,40 - 44,63
1350,2003,Kelantan,45 - 49,8
1351,2003,Kelantan,Total,4245
1352,2002,Kelantan,15 - 19,14
1353,2002,Kelantan,20 - 24,118
1354,2002,Kelantan,25 - 29,311
1355,2002,Kelantan,30 - 34,238
1356,2002,Kelantan,35 - 39,153
1357,2002,Kelantan,40 - 44,75
1358,2002,Kelantan,45 - 49,9
1359,2002,Kelantan,Total,4594
1360,2001,Kelantan,15 - 19,15
1361,2001,Kelantan,20 - 24,140
1362,2001,Kelantan,25 - 29,342
1363,2001,Kelantan,30 - 34,231
1364,2001,Kelantan,35 - 39,160
1365,2001,Kelantan,40 - 44,75
1366,2001,Kelantan,45 - 49,10
1367,2001,Kelantan,Total,4871
1368,2018,Malaysia,15 - 19,8.52429
1369,2018,Malaysia,20 - 24,43.7971
1370,2018,Malaysia,25 - 29,103.446
1371,2018,Malaysia,30 - 34,116.884
1372,2018,Malaysia,35 - 39,72.2526
1373,2018,Malaysia,40 - 44,21.6967
1374,2018,Malaysia,45 - 49,1.63031
1375,2018,Malaysia,Total,1841.16
1376,2017,Malaysia,15 - 19,9
1377,2017,Malaysia,20 - 24,46
1378,2017,Malaysia,25 - 29,108
1379,2017,Malaysia,30 - 34,118
1380,2017,Malaysia,35 - 39,74
1381,2017,Malaysia,40 - 44,21
1382,2017,Malaysia,45 - 49,2
1383,2017,Malaysia,Total,1890
1384,2016,Malaysia,15 - 19,10
1385,2016,Malaysia,20 - 24,47
1386,2016,Malaysia,25 - 29,111
1387,2016,Malaysia,30 - 34,120
1388,2016,Malaysia,35 - 39,74
1389,2016,Malaysia,40 - 44,20
1390,2016,Malaysia,45 - 49,2
1391,2016,Malaysia,Total,1918
1392,2015,Malaysia,15 - 19,12
1393,2015,Malaysia,20 - 24,48
1394,2015,Malaysia,25 - 29,118
1395,2015,Malaysia,30 - 34,124
1396,2015,Malaysia,35 - 39,76
1397,2015,Malaysia,40 - 44,21
1398,2015,Malaysia,45 - 49,2
1399,2015,Malaysia,Total,2002
1400,2014,Malaysia,15 - 19,13
1401,2014,Malaysia,20 - 24,51
1402,2014,Malaysia,25 - 29,123
1403,2014,Malaysia,30 - 34,127
1404,2014,Malaysia,35 - 39,77
1405,2014,Malaysia,40 - 44,21
1406,2014,Malaysia,45 - 49,2
1407,2014,Malaysia,Total,2072
1408,2013,Malaysia,15 - 19,13
1409,2013,Malaysia,20 - 24,51
1410,2013,Malaysia,25 - 29,122
1411,2013,Malaysia,30 - 34,124
1412,2013,Malaysia,35 - 39,73
1413,2013,Malaysia,40 - 44,20
1414,2013,Malaysia,45 - 49,2
1415,2013,Malaysia,Total,2022
1416,2012,Malaysia,15 - 19,14
1417,2012,Malaysia,20 - 24,56
1418,2012,Malaysia,25 - 29,130
1419,2012,Malaysia,30 - 34,136
1420,2012,Malaysia,35 - 39,78
1421,2012,Malaysia,40 - 44,22
1422,2012,Malaysia,45 - 49,2
1423,2012,Malaysia,Total,2188
1424,2011,Malaysia,15 - 19,14
1425,2011,Malaysia,20 - 24,57
1426,2011,Malaysia,25 - 29,129
1427,2011,Malaysia,30 - 34,135
1428,2011,Malaysia,35 - 39,76
1429,2011,Malaysia,40 - 44,22
1430,2011,Malaysia,45 - 49,2
1431,2011,Malaysia,Total,2174
1432,2010,Malaysia,15 - 19,14
1433,2010,Malaysia,20 - 24,58
1434,2010,Malaysia,25 - 29,128
1435,2010,Malaysia,30 - 34,131
1436,2010,Malaysia,35 - 39,73
1437,2010,Malaysia,40 - 44,21
1438,2010,Malaysia,45 - 49,2
1439,2010,Malaysia,Total,2136
1440,2009,Malaysia,15 - 19,14
1441,2009,Malaysia,20 - 24,63
1442,2009,Malaysia,25 - 29,135
1443,2009,Malaysia,30 - 34,137
1444,2009,Malaysia,35 - 39,76
1445,2009,Malaysia,40 - 44,23
1446,2009,Malaysia,45 - 49,2
1447,2009,Malaysia,Total,2245
1448,2008,Malaysia,15 - 19,13
1449,2008,Malaysia,20 - 24,64
1450,2008,Malaysia,25 - 29,139
1451,2008,Malaysia,30 - 34,137
1452,2008,Malaysia,35 - 39,76
1453,2008,Malaysia,40 - 44,24
1454,2008,Malaysia,45 - 49,2
1455,2008,Malaysia,Total,2274
1456,2007,Malaysia,15 - 19,12
1457,2007,Malaysia,20 - 24,63
1458,2007,Malaysia,25 - 29,142
1459,2007,Malaysia,30 - 34,135
1460,2007,Malaysia,35 - 39,76
1461,2007,Malaysia,40 - 44,23
1462,2007,Malaysia,45 - 49,3
1463,2007,Malaysia,Total,2274
1464,2006,Malaysia,15 - 19,12
1465,2006,Malaysia,20 - 24,66
1466,2006,Malaysia,25 - 29,145
1467,2006,Malaysia,30 - 34,134
1468,2006,Malaysia,35 - 39,76
1469,2006,Malaysia,40 - 44,25
1470,2006,Malaysia,45 - 49,3
1471,2006,Malaysia,Total,2299
1472,2005,Malaysia,15 - 19,12
1473,2005,Malaysia,20 - 24,69
1474,2005,Malaysia,25 - 29,149
1475,2005,Malaysia,30 - 34,136
1476,2005,Malaysia,35 - 39,79
1477,2005,Malaysia,40 - 44,25
1478,2005,Malaysia,45 - 49,3
1479,2005,Malaysia,Total,2362
1480,2004,Malaysia,15 - 19,13
1481,2004,Malaysia,20 - 24,72
1482,2004,Malaysia,25 - 29,154
1483,2004,Malaysia,30 - 34,138
1484,2004,Malaysia,35 - 39,81
1485,2004,Malaysia,40 - 44,27
1486,2004,Malaysia,45 - 49,3
1487,2004,Malaysia,Total,2450
1488,2003,Malaysia,15 - 19,13
1489,2003,Malaysia,20 - 24,76
1490,2003,Malaysia,25 - 29,157
1491,2003,Malaysia,30 - 34,139
1492,2003,Malaysia,35 - 39,83
1493,2003,Malaysia,40 - 44,27
1494,2003,Malaysia,45 - 49,3
1495,2003,Malaysia,Total,2494
1496,2002,Malaysia,15 - 19,13
1497,2002,Malaysia,20 - 24,81
1498,2002,Malaysia,25 - 29,163
1499,2002,Malaysia,30 - 34,145
1500,2002,Malaysia,35 - 39,86
1501,2002,Malaysia,40 - 44,30
1502,2002,Malaysia,45 - 49,4
1503,2002,Malaysia,Total,2609
1504,2001,Malaysia,15 - 19,15
1505,2001,Malaysia,20 - 24,88
1506,2001,Malaysia,25 - 29,168
1507,2001,Malaysia,30 - 34,146
1508,2001,Malaysia,35 - 39,90
1509,2001,Malaysia,40 - 44,31
1510,2001,Malaysia,45 - 49,4
1511,2001,Malaysia,Total,2709
1512,2018,Melaka,15 - 19,5.48727
1513,2018,Melaka,20 - 24,36.4451
1514,2018,Melaka,25 - 29,99.2139
1515,2018,Melaka,30 - 34,130.219
1516,2018,Melaka,35 - 39,77.9885
1517,2018,Melaka,40 - 44,20.1738
1518,2018,Melaka,45 - 49,1.26228
1519,2018,Melaka,Total,1853.95
1520,2017,Melaka,15 - 19,6
1521,2017,Melaka,20 - 24,35
1522,2017,Melaka,25 - 29,107
1523,2017,Melaka,30 - 34,131
1524,2017,Melaka,35 - 39,81
1525,2017,Melaka,40 - 44,19
1526,2017,Melaka,45 - 49,1
1527,2017,Melaka,Total,1900
1528,2016,Melaka,15 - 19,6
1529,2016,Melaka,20 - 24,36
1530,2016,Melaka,25 - 29,115
1531,2016,Melaka,30 - 34,137
1532,2016,Melaka,35 - 39,80
1533,2016,Melaka,40 - 44,18
1534,2016,Melaka,45 - 49,1
1535,2016,Melaka,Total,1958
1536,2015,Melaka,15 - 19,7
1537,2015,Melaka,20 - 24,34
1538,2015,Melaka,25 - 29,129
1539,2015,Melaka,30 - 34,141
1540,2015,Melaka,35 - 39,80
1541,2015,Melaka,40 - 44,18
1542,2015,Melaka,45 - 49,1
1543,2015,Melaka,Total,2046
1544,2014,Melaka,15 - 19,7
1545,2014,Melaka,20 - 24,36
1546,2014,Melaka,25 - 29,138
1547,2014,Melaka,30 - 34,146
1548,2014,Melaka,35 - 39,80
1549,2014,Melaka,40 - 44,17
1550,2014,Melaka,45 - 49,1
1551,2014,Melaka,Total,2127
1552,2013,Melaka,15 - 19,7
1553,2013,Melaka,20 - 24,38
1554,2013,Melaka,25 - 29,138
1555,2013,Melaka,30 - 34,140
1556,2013,Melaka,35 - 39,74
1557,2013,Melaka,40 - 44,16
1558,2013,Melaka,45 - 49,1
1559,2013,Melaka,Total,2064
1560,2012,Melaka,15 - 19,8
1561,2012,Melaka,20 - 24,42
1562,2012,Melaka,25 - 29,147
1563,2012,Melaka,30 - 34,151
1564,2012,Melaka,35 - 39,80
1565,2012,Melaka,40 - 44,17
1566,2012,Melaka,45 - 49,1
1567,2012,Melaka,Total,2227
1568,2011,Melaka,15 - 19,7
1569,2011,Melaka,20 - 24,47
1570,2011,Melaka,25 - 29,151
1571,2011,Melaka,30 - 34,148
1572,2011,Melaka,35 - 39,77
1573,2011,Melaka,40 - 44,15
1574,2011,Melaka,45 - 49,1
1575,2011,Melaka,Total,2227
1576,2010,Melaka,15 - 19,6
1577,2010,Melaka,20 - 24,49
1578,2010,Melaka,25 - 29,148
1579,2010,Melaka,30 - 34,141
1580,2010,Melaka,35 - 39,66
1581,2010,Melaka,40 - 44,14
1582,2010,Melaka,45 - 49,1
1583,2010,Melaka,Total,2122
1584,2009,Melaka,15 - 19,6
1585,2009,Melaka,20 - 24,57
1586,2009,Melaka,25 - 29,153
1587,2009,Melaka,30 - 34,150
1588,2009,Melaka,35 - 39,69
1589,2009,Melaka,40 - 44,16
1590,2009,Melaka,45 - 49,1
1591,2009,Melaka,Total,2264
1592,2008,Melaka,15 - 19,7
1593,2008,Melaka,20 - 24,60
1594,2008,Melaka,25 - 29,159
1595,2008,Melaka,30 - 34,156
1596,2008,Melaka,35 - 39,72
1597,2008,Melaka,40 - 44,18
1598,2008,Melaka,45 - 49,1
1599,2008,Melaka,Total,2363
1600,2007,Melaka,15 - 19,7
1601,2007,Melaka,20 - 24,62
1602,2007,Melaka,25 - 29,167
1603,2007,Melaka,30 - 34,152
1604,2007,Melaka,35 - 39,71
1605,2007,Melaka,40 - 44,18
1606,2007,Melaka,45 - 49,2
1607,2007,Melaka,Total,2396
1608,2006,Melaka,15 - 19,7
1609,2006,Melaka,20 - 24,66
1610,2006,Melaka,25 - 29,163
1611,2006,Melaka,30 - 34,146
1612,2006,Melaka,35 - 39,71
1613,2006,Melaka,40 - 44,20
1614,2006,Melaka,45 - 49,1
1615,2006,Melaka,Total,2363
1616,2005,Melaka,15 - 19,7
1617,2005,Melaka,20 - 24,68
1618,2005,Melaka,25 - 29,180
1619,2005,Melaka,30 - 34,147
1620,2005,Melaka,35 - 39,75
1621,2005,Melaka,40 - 44,19
1622,2005,Melaka,45 - 49,2
1623,2005,Melaka,Total,2495
1624,2004,Melaka,15 - 19,8
1625,2004,Melaka,20 - 24,72
1626,2004,Melaka,25 - 29,184
1627,2004,Melaka,30 - 34,152
1628,2004,Melaka,35 - 39,79
1629,2004,Melaka,40 - 44,24
1630,2004,Melaka,45 - 49,1
1631,2004,Melaka,Total,2597
1632,2003,Melaka,15 - 19,9
1633,2003,Melaka,20 - 24,76
1634,2003,Melaka,25 - 29,191
1635,2003,Melaka,30 - 34,156
1636,2003,Melaka,35 - 39,88
1637,2003,Melaka,40 - 44,23
1638,2003,Melaka,45 - 49,2
1639,2003,Melaka,Total,2722
1640,2002,Melaka,15 - 19,8
1641,2002,Melaka,20 - 24,82
1642,2002,Melaka,25 - 29,193
1643,2002,Melaka,30 - 34,154
1644,2002,Melaka,35 - 39,88
1645,2002,Melaka,40 - 44,26
1646,2002,Melaka,45 - 49,2
1647,2002,Melaka,Total,2766
1648,2001,Melaka,15 - 19,10
1649,2001,Melaka,20 - 24,89
1650,2001,Melaka,25 - 29,197
1651,2001,Melaka,30 - 34,168
1652,2001,Melaka,35 - 39,94
1653,2001,Melaka,40 - 44,27
1654,2001,Melaka,45 - 49,2
1655,2001,Melaka,Total,2936
1656,2018,Pahang,15 - 19,11.7763
1657,2018,Pahang,20 - 24,51.6733
1658,2018,Pahang,25 - 29,120.458
1659,2018,Pahang,30 - 34,135.609
1660,2018,Pahang,35 - 39,80.2663
1661,2018,Pahang,40 - 44,27.4863
1662,2018,Pahang,45 - 49,1.87425
1663,2018,Pahang,Total,2145.72
1664,2017,Pahang,15 - 19,12
1665,2017,Pahang,20 - 24,55
1666,2017,Pahang,25 - 29,136
1667,2017,Pahang,30 - 34,134
1668,2017,Pahang,35 - 39,83
1669,2017,Pahang,40 - 44,26
1670,2017,Pahang,45 - 49,1
1671,2017,Pahang,Total,2236
1672,2016,Pahang,15 - 19,13
1673,2016,Pahang,20 - 24,57
1674,2016,Pahang,25 - 29,146
1675,2016,Pahang,30 - 34,133
1676,2016,Pahang,35 - 39,85
1677,2016,Pahang,40 - 44,23
1678,2016,Pahang,45 - 49,2
1679,2016,Pahang,Total,2291
1680,2015,Pahang,15 - 19,15
1681,2015,Pahang,20 - 24,59
1682,2015,Pahang,25 - 29,156
1683,2015,Pahang,30 - 34,131
1684,2015,Pahang,35 - 39,90
1685,2015,Pahang,40 - 44,26
1686,2015,Pahang,45 - 49,2
1687,2015,Pahang,Total,2390
1688,2014,Pahang,15 - 19,15
1689,2014,Pahang,20 - 24,63
1690,2014,Pahang,25 - 29,167
1691,2014,Pahang,30 - 34,135
1692,2014,Pahang,35 - 39,91
1693,2014,Pahang,40 - 44,24
1694,2014,Pahang,45 - 49,2
1695,2014,Pahang,Total,2494
1696,2013,Pahang,15 - 19,16
1697,2013,Pahang,20 - 24,63
1698,2013,Pahang,25 - 29,155
1699,2013,Pahang,30 - 34,133
1700,2013,Pahang,35 - 39,85
1701,2013,Pahang,40 - 44,23
1702,2013,Pahang,45 - 49,2
1703,2013,Pahang,Total,2384
1704,2012,Pahang,15 - 19,17
1705,2012,Pahang,20 - 24,73
1706,2012,Pahang,25 - 29,155
1707,2012,Pahang,30 - 34,140
1708,2012,Pahang,35 - 39,83
1709,2012,Pahang,40 - 44,25
1710,2012,Pahang,45 - 49,2
1711,2012,Pahang,Total,2475
1712,2011,Pahang,15 - 19,18
1713,2011,Pahang,20 - 24,78
1714,2011,Pahang,25 - 29,148
1715,2011,Pahang,30 - 34,147
1716,2011,Pahang,35 - 39,82
1717,2011,Pahang,40 - 44,25
1718,2011,Pahang,45 - 49,2
1719,2011,Pahang,Total,2502
1720,2010,Pahang,15 - 19,15
1721,2010,Pahang,20 - 24,79
