Year,State,Sex,Live_births
2014,Perlis,Female,2191
2014,Perlis,Total,4509
2014,Pulau Pinang,Male,11799
2014,Pulau Pinang,Female,11078
2014,Pulau Pinang,Total,22877
2014,Sabah,Male,29720
2014,Sabah,Female,27677
2014,Sabah,Total,57397
2014,Sarawak,Male,21243
2014,Sarawak,Female,19806
2014,Sarawak,Total,41049
2014,Selangor,Male,56023
2014,Selangor,Female,52909
2014,Selangor,Total,108932
2014,Terengganu,Male,14056
2014,Terengganu,Female,12957
2014,Terengganu,Total,27013
2014,Wilayah Persekutuan Kuala Lumpur,Male,13887
2014,Wilayah Persekutuan Kuala Lumpur,Female,13213
2014,Wilayah Persekutuan Kuala Lumpur,Total,27100
2014,Wilayah Persekutuan Labuan,Male,959
2014,Wilayah Persekutuan Labuan,Female,912
2014,Wilayah Persekutuan Labuan,Total,1871
2014,Wilayah Persekutuan Putrajaya,Male,1574
2014,Wilayah Persekutuan Putrajaya,Female,1490
2014,Wilayah Persekutuan Putrajaya,Total,3064
2016,Johor,Male,30754
2016,Johor,Female,28807
2016,Johor,Total,59561
2016,Kedah,Male,18457
2016,Kedah,Female,17510
2016,Kedah,Total,35967
2016,Kelantan,Male,19821
2016,Kelantan,Female,18634
2016,Kelantan,Total,38455
2016,Melaka,Male,7511
2016,Melaka,Female,6891
2016,Melaka,Total,14402
2016,Negeri Sembilan,Male,9345
2016,Negeri Sembilan,Female,8691
2016,Negeri Sembilan,Total,18036
2016,Pahang,Male,14379
2016,Pahang,Female,13247
2016,Pahang,Total,27626
2016,Perak,Male,18559
2016,Perak,Female,17126
2016,Perak,Total,35685
2016,Perlis,Male,2297
2016,Perlis,Female,2095
2016,Perlis,Total,4392
2016,Pulau Pinang,Male,11176
2016,Pulau Pinang,Female,10605
2016,Pulau Pinang,Total,21781
2016,Sabah,Male,27067
2016,Sabah,Female,25004
2016,Sabah,Total,52071
2016,Sarawak,Male,19652
2016,Sarawak,Female,18333
2016,Sarawak,Total,37985
2016,Selangor,Male,54027
2016,Selangor,Female,50634
2016,Selangor,Total,104661
2016,Terengganu,Male,14211
2016,Terengganu,Female,13310
2016,Terengganu,Total,27521
2016,Wilayah Persekutuan Kuala Lumpur,Male,13276
2016,Wilayah Persekutuan Kuala Lumpur,Female,12463
2016,Wilayah Persekutuan Kuala Lumpur,Total,25739
2016,Wilayah Persekutuan Labuan,Male,881
2016,Wilayah Persekutuan Labuan,Female,871
2016,Wilayah Persekutuan Labuan,Total,1752
2016,Wilayah Persekutuan Putrajaya,Male,1342
2016,Wilayah Persekutuan Putrajaya,Female,1227
2016,Wilayah Persekutuan Putrajaya,Total,2569
2009,Johor,Male,29631
2009,Johor,Female,27386
2009,Johor,Total,57017
2009,Kedah,Male,18387
2009,Kedah,Female,17376
2009,Kedah,Total,35763
2009,Kelantan,Male,18277
2009,Kelantan,Female,17297
2009,Kelantan,Total,35574
2009,Melaka,Male,6829
2009,Melaka,Female,6464
2009,Melaka,Total,13293
2009,Negeri Sembilan,Male,8844
2009,Negeri Sembilan,Female,8315
2009,Negeri Sembilan,Total,17159
2009,Pahang,Male,13411
2009,Pahang,Female,12499
2009,Pahang,Total,25910
2009,Perak,Male,18836
2009,Perak,Female,17819
2009,Perak,Total,36655
2009,Perlis,Male,2197
2009,Perlis,Female,2015
2009,Perlis,Total,4212
2009,Pulau Pinang,Male,11621
2009,Pulau Pinang,Female,10937
2009,Pulau Pinang,Total,22558
2009,Sabah,Male,26925
2009,Sabah,Female,25128
2009,Sabah,Total,52053
2009,Sarawak,Male,22407
2009,Sarawak,Female,20794
2009,Sarawak,Total,43201
2009,Selangor,Male,52446
2009,Selangor,Female,49164
2009,Selangor,Total,101610
2009,Terengganu,Male,12152
2009,Terengganu,Female,11643
2009,Terengganu,Total,23795
2009,Wilayah Persekutuan Kuala Lumpur,Male,13252
2009,Wilayah Persekutuan Kuala Lumpur,Female,12612
2009,Wilayah Persekutuan Kuala Lumpur,Total,25864
2009,Wilayah Persekutuan Labuan,Male,845
2009,Wilayah Persekutuan Labuan,Female,804
2009,Wilayah Persekutuan Labuan,Total,1649
2010,Johor,Male,28989
2010,Johor,Female,27075
2010,Johor,Total,56064
2010,Kedah,Male,18203
2010,Kedah,Female,16925
2010,Kedah,Total,35128
2010,Kelantan,Male,18586
2010,Kelantan,Female,17423
2010,Kelantan,Total,36009
2010,Melaka,Male,6799
2010,Melaka,Female,6211
2010,Melaka,Total,13010
2010,Negeri Sembilan,Male,8654
2010,Negeri Sembilan,Female,8285
2010,Negeri Sembilan,Total,16939
2010,Pahang,Male,13426
2010,Pahang,Female,12520
2010,Pahang,Total,25946
2010,Perak,Male,18548
2010,Perak,Female,17478
2010,Perak,Total,36026
2010,Perlis,Male,2126
2010,Perlis,Female,1988
2010,Perlis,Total,4114
2010,Pulau Pinang,Male,10964
2010,Pulau Pinang,Female,10208
2010,Pulau Pinang,Total,21172
2010,Sabah,Male,28078
2010,Sabah,Female,26056
2010,Sabah,Total,54134
2010,Sarawak,Male,21435
2010,Sarawak,Female,20039
2010,Sarawak,Total,41474
2010,Selangor,Male,50529
2010,Selangor,Female,47900
2010,Selangor,Total,98429
2010,Terengganu,Male,12546
2010,Terengganu,Female,11716
2010,Terengganu,Total,24262
2010,Wilayah Persekutuan Kuala Lumpur,Male,12697
2010,Wilayah Persekutuan Kuala Lumpur,Female,11774
2010,Wilayah Persekutuan Kuala Lumpur,Total,24471
2010,Wilayah Persekutuan Labuan,Male,852
2010,Wilayah Persekutuan Labuan,Female,779
2010,Wilayah Persekutuan Labuan,Total,1631
2010,Wilayah Persekutuan Putrajaya,Male,1286
2010,Wilayah Persekutuan Putrajaya,Female,1144
2010,Wilayah Persekutuan Putrajaya,Total,2430
2011,Johor,Male,29962
2011,Johor,Female,28205
2011,Johor,Total,58167
2011,Kedah,Male,18480
2011,Kedah,Female,17457
2011,Kedah,Total,35937
2011,Kelantan,Male,19412
2011,Kelantan,Female,18267
2011,Kelantan,Total,37679
2011,Melaka,Male,7290
2011,Melaka,Female,6686
2011,Melaka,Total,13976
2011,Negeri Sembilan,Male,9202
2011,Negeri Sembilan,Female,8468
2011,Negeri Sembilan,Total,17670
2011,Pahang,Male,14045
2011,Pahang,Female,13034
2011,Pahang,Total,27079
2011,Perak,Male,19459
2011,Perak,Female,18063
2011,Perak,Total,37522
2011,Perlis,Male,2192
2011,Perlis,Female,1969
2011,Perlis,Total,4161
2011,Pulau Pinang,Male,11633
2011,Pulau Pinang,Female,10720
2011,Pulau Pinang,Total,22353
2011,Sabah,Male,28473
2011,Sabah,Female,26517
2011,Sabah,Total,54990
2011,Sarawak,Male,22318
2011,Sarawak,Female,21065
2011,Sarawak,Total,43383
2011,Selangor,Male,53540
2011,Selangor,Female,50146
2011,Selangor,Total,103686
2011,Terengganu,Male,12855
2011,Terengganu,Female,11921
2011,Terengganu,Total,24776
2011,Wilayah Persekutuan Kuala Lumpur,Male,13147
2011,Wilayah Persekutuan Kuala Lumpur,Female,12378
2011,Wilayah Persekutuan Kuala Lumpur,Total,25525
2011,Wilayah Persekutuan Labuan,Male,911
